Run,Condition,Protein,Protein.Group,PG.MaxLFQ,Genes.MaxLFQ,Genes.MaxLFQ.Unique,PG.Q.Value
20251211_Ideaya_DIA_G_B24_D11,DMSO,MAP3K2,Q9Y2U5,4911927.5,4911927.5,4911927.5,0.000111159046
20251211_Ideaya_DIA_G_B24_D7,DMSO,MAP3K2,Q9Y2U5,4328819.5,4328819.5,4328819.5,0.00011135609
20251211_Ideaya_DIA_G_B24_D9,DMSO,MAP3K2,Q9Y2U5,3925866.5,3925866.5,3925866.5,0.00011135917
20251211_Ideaya_DIA_G_B24_D11,DMSO,MAP3K3,Q99759,288760.66,288760.66,282256.56,0.0001111594
20251211_Ideaya_DIA_G_B24_D11,DMSO,MAP3K3,Q99759,288760.66,288760.66,0.0,0.0001111594
20251211_Ideaya_DIA_G_B24_D7,DMSO,MAP3K3,Q99759,365939.2,365939.2,315046.3,0.00011135643
20251211_Ideaya_DIA_G_B24_D7,DMSO,MAP3K3,Q99759,365939.2,365939.2,0.0,0.00011135643
20251211_Ideaya_DIA_G_B24_D9,DMSO,MAP3K3,Q99759,275267.9,275267.9,263799.88,0.00011135936
20251211_Ideaya_DIA_G_B24_D9,DMSO,MAP3K3,Q99759,275267.9,275267.9,0.0,0.00011135936
20251211_Ideaya_DIA_H_B24_V10,DTAGv1,MAP3K3,Q99759,193652.7,193652.7,300761.72,0.00011333905
20251211_Ideaya_DIA_H_B24_V10,DTAGv1,MAP3K3,Q99759,193652.7,193652.7,0.0,0.00011333905
20251211_Ideaya_DIA_H_B24_V12,DTAGv1,MAP3K3,Q99759,241719.23,241719.23,401776.1,0.00011287744
20251211_Ideaya_DIA_H_B24_V12,DTAGv1,MAP3K3,Q99759,241719.23,241719.23,0.0,0.00011287744
20251211_Ideaya_DIA_H_B24_V8,DTAGv1,MAP3K3,Q99759,235635.36,235635.36,335405.34,0.00011300551
20251211_Ideaya_DIA_H_B24_V8,DTAGv1,MAP3K3,Q99759,235635.36,235635.36,0.0,0.00011300551
