Mode,Condition,Run,Protein.Group,PG_MaxLFQ_First,PG_MaxLFQ_Min,PG_MaxLFQ_Max,Underlying_Rows,Unique_Peptides
Baseline,DMSO,20251211_Ideaya_DIA_G_B24_D11,Q99759,288760.66,288760.66,288760.66,5,5
Baseline,DMSO,20251211_Ideaya_DIA_G_B24_D11,Q9Y2U5,4911927.5,4911927.5,4911927.5,5,5
Baseline,DMSO,20251211_Ideaya_DIA_G_B24_D7,Q99759,365939.2,365939.2,365939.2,7,7
Baseline,DMSO,20251211_Ideaya_DIA_G_B24_D7,Q9Y2U5,4328819.5,4328819.5,4328819.5,8,8
Baseline,DMSO,20251211_Ideaya_DIA_G_B24_D9,Q99759,275267.9,275267.9,275267.9,6,6
Baseline,DMSO,20251211_Ideaya_DIA_G_B24_D9,Q9Y2U5,3925866.5,3925866.5,3925866.5,6,6
Baseline,DTAGv1,20251211_Ideaya_DIA_H_B24_V10,Q99759,193652.7,193652.7,193652.7,4,4
Baseline,DTAGv1,20251211_Ideaya_DIA_H_B24_V12,Q99759,241719.23,241719.23,241719.23,7,7
Baseline,DTAGv1,20251211_Ideaya_DIA_H_B24_V12,Q9Y2U5,0.0,0.0,0.0,1,1
Baseline,DTAGv1,20251211_Ideaya_DIA_H_B24_V8,Q99759,235635.36,235635.36,235635.36,6,6
NPI,DMSO,20251211_Ideaya_DIA_G_B24_D11,Q99759,284040.62,284040.62,284040.62,4,4
NPI,DMSO,20251211_Ideaya_DIA_G_B24_D11,Q9Y2U5,4942974.5,4942974.5,4942974.5,5,5
NPI,DMSO,20251211_Ideaya_DIA_G_B24_D7,Q99759,311955.72,311955.72,311955.72,6,6
NPI,DMSO,20251211_Ideaya_DIA_G_B24_D7,Q9Y2U5,4286353.5,4286353.5,4286353.5,8,8
NPI,DMSO,20251211_Ideaya_DIA_G_B24_D9,Q99759,264427.06,264427.06,264427.06,5,5
NPI,DMSO,20251211_Ideaya_DIA_G_B24_D9,Q9Y2U5,3935200.0,3935200.0,3935200.0,6,6
NPI,DTAGv1,20251211_Ideaya_DIA_H_B24_V10,Q99759,300147.5,300147.5,300147.5,3,3
NPI,DTAGv1,20251211_Ideaya_DIA_H_B24_V12,Q99759,401512.34,401512.34,401512.34,6,6
NPI,DTAGv1,20251211_Ideaya_DIA_H_B24_V12,Q9Y2U5,0.0,0.0,0.0,1,1
NPI,DTAGv1,20251211_Ideaya_DIA_H_B24_V8,Q99759,333609.4,333609.4,333609.4,5,5
PF,DMSO,20251211_Ideaya_DIA_G_B24_D11,Q99759,286560.56,286560.56,286560.56,5,5
PF,DMSO,20251211_Ideaya_DIA_G_B24_D11,Q9Y2U5,4978405.0,4978405.0,4978405.0,5,5
PF,DMSO,20251211_Ideaya_DIA_G_B24_D7,Q99759,345445.25,345445.25,345445.25,7,7
PF,DMSO,20251211_Ideaya_DIA_G_B24_D7,Q9Y2U5,4403428.5,4403428.5,4403428.5,8,8
PF,DMSO,20251211_Ideaya_DIA_G_B24_D9,Q99759,275986.72,275986.72,275986.72,6,6
PF,DMSO,20251211_Ideaya_DIA_G_B24_D9,Q9Y2U5,3807833.8,3807833.8,3807833.8,6,6
PF,DTAGv1,20251211_Ideaya_DIA_H_B24_V10,Q99759,177665.92,177665.92,177665.92,4,4
PF,DTAGv1,20251211_Ideaya_DIA_H_B24_V12,Q99759,212433.89,212433.89,212433.89,7,7
PF,DTAGv1,20251211_Ideaya_DIA_H_B24_V12,Q9Y2U5,0.0,0.0,0.0,1,1
PF,DTAGv1,20251211_Ideaya_DIA_H_B24_V8,Q99759,216176.84,216176.84,216176.84,6,6
